微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",广州动物园宣布永久停止马戏表演,广州动物园内已有24年历史的马戏表演,动物行为展示馆日前正式结束,该馆曾累计为一千多万人次提供现场表演,但随着保护动物呼声日益高涨,园方遂按计划,在与杂技团租赁合同届满后,宣布永久停止动物表演,别拿TA的痛苦取乐,转发,传递,广州动物园马戏表演明起终止,相关场馆改为科普馆,组图共9张,原图,",True,2017-09-02 09:02,新媒体聚合平台,230693,93010,20257
",广东汕头暴雨,潮南,潮阳区受灾严重,当地加紧开展抗涝救灾工作,截至31日,潮南区受灾人口46,6万多人,全市556毫米的最大降雨量出现在该区,潮阳全区受灾人口累计36,4674万人,据,汕头市政府应急办,全市公安机关共出动警力,含边防,消防官兵,7023人次,出动冲锋舟,橡皮艇等救灾船只229艘,车辆1861辆次,转移,救助,疏散受灾群众2万多人次,组图共9张,原图,",True,2018-09-01 12:50,新媒体聚合平台,139075,110217,82511
",记者调查福建泉港碳九泄漏现场,仍感到喉咙难受,胸闷,11月8日,记者来到事发海域,事隔4天,仍能闻到比较浓的异味,感到喉咙难受,胸闷,泄漏点附近的渔排泡沫被腐蚀,渔排出现下沉,有渔民养的鲍鱼出现死亡,一些渔民损失严重,8日,区政府通报,医院接诊52名疑似接触碳九泄漏身体不适的患者,人民日报的秒拍视频,",True,2018-11-08 21:12,微博 weibo.com,224224,52709,51013
",谢谢你,陌生人,总有一个瞬间,让人觉得世界是温暖的,人民日报的秒拍视频,",True,2018-08-16 08:29,新媒体聚合平台,188881,55269,83583
",女大学生为同学挡8刀,我不冲上去,她可能会死,面对凶手冰冷的刀,20岁宁波大学生崔译文不顾一切,用身体护住同学,结果身中8刀,一个女孩为何这么勇敢,她说,我是军人的孩子,我只知道,我不冲上去她可能会死,近日,广西灵川县授予她,见义勇为积极分子,称号,身中8刀,歹徒校园行凶,宁波女孩挡在同学身前,自己身受重伤,还,组图共6张,原图,",True,2019-04-30 16:52,新媒体聚合平台,257473,32322,28676
",30名牺牲人员被批准为烈士,今日,此刻,为他们发条微博,他们是永远值得铭记的英烈,为告慰英雄,激励队伍,近日,应急管理部,四川省人民政府批准在扑救四川凉山木里森林火灾中英勇牺牲的30名同志为烈士,这是一份沉重的名单,他们是永远值得铭记的英烈,组图共9张,原图,",True,2019-04-04 11:01,微博 weibo.com,129566,160678,22904
",天津港爆炸事故,今日头七,向逝去的战士致敬,他们中,有90后年轻的消防员,有60后敬业工作的民警,在那场爆炸事故中,他们都无畏践行着使命与承诺,把青春与生命定格于火场,今日头七,点颗,送别这些勇敢的战士,英雄没有编外,所有牺牲都值得最高的敬意,走好,愿安息,组图共9张,原图,",True,2015-08-18 08:12,人民日报微博,103467,158015,51624
",好消息,五一放假4天,2019年5月1日至4日放假调休,共4天,4月28日,星期日,5月5日,星期日,上班,扩散周知,原图,",True,2019-03-22 10:19,微博 weibo.com,183717,60652,66243
",好听,厦门六中合唱团合唱,夜空中最亮的星,一本书,一排桌,一群身穿白校服的孩子们,轻柔的歌声伴着书本敲击课桌的声响,夜空中最亮的星,缓缓唱来,人民日报新媒体与,厦门六中合唱团,联合制作,向辛勤的园丁们致敬,人民日报的秒拍视频,教师节快乐,",True,2018-09-09 19:07,新媒体聚合平台,203589,89235,17197
",人民日报超燃MV,中国有我,中国有我,我有中国,每个人,每一点平凡的努力,成就不平凡的自己,也成就不平凡的中国,感谢我有中国,总有港湾和依靠,也请相信,中国有我,会成就更骄傲的中国,TFBOYS,易烊千玺,韩雪,TIA袁娅维,霍尊,钟天使,cycling,林超攀,倾情献唱,人民日报的秒拍视频,",True,2018-10-01 17:21,秒拍网页版,157180,104450,47397
